miRNA,SRR1014667,SRR1014668,SRR1014669
hsa-let-7a-3p,233.0,641.0,392.0
hsa-let-7a-5p,101163.0,23138.0,89241.0
hsa-let-7b-3p,28.0,37.0,21.0
hsa-let-7b-5p,4413.0,5942.0,6057.0
hsa-let-7c-5p,113.0,397.0,52.0
hsa-let-7d-3p,1434.0,1714.0,1730.0
hsa-let-7d-5p,12287.0,4832.0,14840.0
hsa-let-7e-3p,1.0,0.0,0.0
hsa-let-7e-5p,231.0,61.0,227.0
hsa-let-7f-1-3p,114.0,244.0,104.0
hsa-let-7f-2-3p,16.0,32.0,9.0
hsa-let-7f-5p,296387.0,26278.0,161431.0
hsa-let-7g-3p,14.0,60.0,21.0
hsa-let-7g-5p,37242.0,7681.0,23407.0
hsa-let-7i-3p,9.0,86.0,64.0
hsa-let-7i-5p,49317.0,5608.0,32316.0
hsa-miR-100-5p,21.0,6.0,8.0
hsa-miR-101-2-5p,0.0,4.0,0.0
hsa-miR-101-3p,16200.0,5957.0,8193.0
hsa-miR-101-5p,14.0,11.0,17.0
hsa-miR-10394-3p,13.0,9.0,20.0
hsa-miR-10394-5p,0.0,0.0,5.0
hsa-miR-10395-3p,17.0,2.0,5.0
hsa-miR-10395-5p,19.0,0.0,4.0
hsa-miR-10396b-3p,1.0,2.0,0.0
hsa-miR-10399-3p,1.0,1.0,6.0
hsa-miR-10399-5p,1.0,0.0,0.0
hsa-miR-103a-2-5p,5.0,10.0,4.0
hsa-miR-103a-3p,9356.0,31243.0,4715.0
hsa-miR-10401-3p,8.0,3.0,15.0
hsa-miR-10524-5p,24.0,13.0,1.0
hsa-miR-10527-5p,13.0,6.0,6.0
hsa-miR-106a-5p,14.0,9.0,34.0
hsa-miR-106b-3p,3851.0,5787.0,4732.0
hsa-miR-106b-5p,2485.0,779.0,1509.0
hsa-miR-107,7644.0,7897.0,3158.0
hsa-miR-10a-3p,1160.0,2568.0,1571.0
hsa-miR-10a-5p,4281764.0,2833905.0,2696206.0
hsa-miR-10b-3p,6.0,2.0,7.0
hsa-miR-10b-5p,97394.0,71353.0,54691.0
hsa-miR-11399,6.0,8.0,3.0
hsa-miR-1179,1.0,0.0,0.0
hsa-miR-1180-3p,37.0,68.0,62.0
hsa-miR-1180-5p,0.0,2.0,0.0
hsa-miR-12113,2.0,0.0,0.0
hsa-miR-12121,1.0,0.0,0.0
hsa-miR-12131,1.0,0.0,0.0
hsa-miR-12132,4.0,3.0,7.0
hsa-miR-12136,17.0,10.0,1.0
hsa-miR-1226-3p,2.0,39.0,54.0
hsa-miR-1226-5p,3.0,2.0,10.0
hsa-miR-1228-5p,1.0,0.0,0.0
hsa-miR-1229-3p,7.0,0.0,7.0
hsa-miR-1234-3p,0.0,9.0,3.0
hsa-miR-124-3p,1.0,2.0,3.0
hsa-miR-1244,4.0,2.0,2.0
hsa-miR-1246,4031.0,6061.0,5971.0
hsa-miR-1247-5p,0.0,0.0,2.0
hsa-miR-1248,4.0,2.0,2.0
hsa-miR-1249-3p,1.0,0.0,0.0
hsa-miR-1252-5p,1.0,0.0,0.0
hsa-miR-1255a,3.0,5.0,2.0
hsa-miR-1255b-5p,7.0,7.0,3.0
hsa-miR-1256,1.0,0.0,0.0
hsa-miR-125a-5p,8.0,3.0,7.0
hsa-miR-125b-1-3p,1.0,1.0,1.0
hsa-miR-125b-5p,2.0,4.0,3.0
hsa-miR-126-3p,171.0,131.0,195.0
hsa-miR-126-5p,4005.0,1571.0,3881.0
hsa-miR-1260b,0.0,4.0,4.0
hsa-miR-1262,16.0,43.0,21.0
hsa-miR-1264,0.0,0.0,1.0
hsa-miR-1266-5p,59.0,144.0,102.0
hsa-miR-1268a,9.0,2.0,32.0
hsa-miR-1268b,3.0,73.0,20.0
hsa-miR-1269a,1.0,12.0,9.0
hsa-miR-1269b,16.0,28.0,16.0
hsa-miR-127-3p,25.0,27.0,20.0
hsa-miR-1271-5p,2.0,0.0,2.0
