miRNA,SRR10995914,SRR10995915,SRR10995916,SRR10995917,SRR10995918,SRR10995919,SRR10995920,SRR10995921,SRR10995922,SRR10995923,SRR10995924,SRR10995925,SRR10995926,SRR10995927,SRR10995928,SRR10995929,SRR10995930,SRR10995931,SRR10995932,SRR10995933,SRR10995934,SRR10995935,SRR10995936,SRR10995937,SRR10995938,SRR10995939,SRR10995940,SRR10995941,SRR10995942
hsa-miR-3179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3184-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-32-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hsa-miR-32-5p,15.0,6.0,23.0,48.0,136.0,78.0,3.0,0.0,7.0,9.0,5.0,24.0,3.0,2.0,3.0,6.0,1.0,80.0,94.0,24.0,28.0,13.0,4.0,3.0,4.0,2.0,8.0,10.0,13.0
hsa-miR-320a-3p,3898.0,1452.0,5359.0,3497.0,7156.0,3621.0,319.0,495.0,934.0,1882.0,1996.0,4212.0,434.0,940.0,268.0,2075.0,99.0,3757.0,5927.0,1877.0,2394.0,5910.0,1305.0,2594.0,2745.0,1405.0,1720.0,1411.0,1209.0
hsa-miR-320a-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320b,873.0,87.0,1109.0,1256.0,668.0,995.0,255.0,20.0,664.0,946.0,980.0,437.0,152.0,75.0,198.0,1406.0,40.0,1370.0,464.0,158.0,1380.0,456.0,618.0,165.0,199.0,723.0,99.0,436.0,125.0
hsa-miR-320c,325.0,27.0,484.0,958.0,701.0,723.0,89.0,22.0,101.0,232.0,354.0,299.0,58.0,101.0,34.0,331.0,33.0,532.0,697.0,124.0,111.0,343.0,198.0,153.0,127.0,131.0,237.0,191.0,72.0
hsa-miR-320d,124.0,7.0,33.0,57.0,330.0,78.0,17.0,3.0,45.0,145.0,33.0,195.0,4.0,8.0,39.0,91.0,3.0,68.0,46.0,37.0,30.0,132.0,43.0,6.0,16.0,19.0,85.0,41.0,12.0
hsa-miR-320e,8.0,2.0,54.0,4.0,10.0,2.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,9.0,1.0,6.0,25.0,4.0,1.0,19.0,1.0,2.0,12.0,1.0,3.0,2.0,0.0
hsa-miR-323a-3p,1361.0,1282.0,1106.0,2225.0,3554.0,2630.0,1907.0,283.0,1588.0,1159.0,1347.0,1458.0,563.0,1254.0,1628.0,807.0,58.0,3640.0,4236.0,1846.0,5055.0,967.0,3334.0,1907.0,2918.0,3628.0,1356.0,1062.0,1211.0
hsa-miR-323a-5p,18.0,5.0,19.0,18.0,27.0,9.0,6.0,1.0,15.0,11.0,13.0,10.0,1.0,3.0,12.0,15.0,0.0,42.0,49.0,18.0,23.0,9.0,28.0,12.0,36.0,39.0,14.0,11.0,7.0
hsa-miR-323b-3p,2.0,0.0,1.0,3.0,9.0,4.0,3.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,12.0,11.0,0.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,5.0,9.0,0.0,6.0,1.0
hsa-miR-324-3p,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-324-5p,1.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-326,51.0,48.0,73.0,67.0,131.0,64.0,1.0,0.0,10.0,9.0,14.0,30.0,3.0,21.0,11.0,8.0,2.0,75.0,75.0,14.0,46.0,73.0,22.0,31.0,48.0,32.0,8.0,13.0,21.0
hsa-miR-328-3p,5063.0,1802.0,6378.0,5985.0,7179.0,6810.0,3299.0,485.0,7542.0,2365.0,3291.0,1732.0,895.0,1727.0,2429.0,2562.0,177.0,7406.0,9663.0,4790.0,931.0,7713.0,3080.0,2506.0,3792.0,8640.0,3481.0,2048.0,2631.0
hsa-miR-328-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-329-3p,0.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-329-5p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-330-3p,302.0,270.0,235.0,439.0,668.0,447.0,117.0,59.0,183.0,228.0,229.0,313.0,60.0,92.0,101.0,305.0,10.0,467.0,548.0,200.0,335.0,226.0,284.0,246.0,296.0,342.0,131.0,118.0,140.0
hsa-miR-330-5p,121.0,131.0,184.0,85.0,125.0,90.0,19.0,12.0,32.0,62.0,54.0,127.0,13.0,91.0,41.0,63.0,8.0,108.0,128.0,56.0,215.0,106.0,78.0,88.0,100.0,100.0,66.0,56.0,92.0
hsa-miR-331-3p,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-331-5p,6.0,9.0,8.0,9.0,16.0,6.0,3.0,0.0,2.0,1.0,3.0,5.0,2.0,8.0,4.0,1.0,1.0,9.0,9.0,4.0,17.0,4.0,5.0,8.0,8.0,4.0,4.0,1.0,8.0
hsa-miR-335-3p,2.0,4.0,4.0,12.0,11.0,10.0,2.0,2.0,7.0,3.0,0.0,4.0,2.0,4.0,3.0,3.0,0.0,15.0,19.0,3.0,2.0,7.0,4.0,16.0,16.0,9.0,3.0,0.0,2.0
hsa-miR-335-5p,39.0,36.0,35.0,111.0,212.0,132.0,8.0,1.0,1.0,15.0,18.0,22.0,2.0,6.0,2.0,18.0,1.0,123.0,164.0,73.0,27.0,29.0,6.0,5.0,7.0,7.0,10.0,16.0,11.0
hsa-miR-337-3p,3.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-337-5p,1.0,6.0,7.0,9.0,26.0,8.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,2.0,1.0,6.0,0.0,14.0,23.0,7.0,5.0,9.0,2.0,5.0,1.0,2.0,3.0,5.0,1.0
hsa-miR-338-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-5p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-339-3p,31.0,128.0,41.0,27.0,68.0,28.0,6.0,1.0,1.0,12.0,10.0,33.0,2.0,8.0,3.0,16.0,3.0,36.0,41.0,16.0,44.0,45.0,23.0,13.0,19.0,18.0,20.0,14.0,14.0
hsa-miR-339-5p,28.0,32.0,39.0,21.0,65.0,32.0,0.0,1.0,1.0,4.0,7.0,12.0,1.0,3.0,1.0,3.0,0.0,38.0,67.0,31.0,6.0,31.0,5.0,5.0,3.0,7.0,4.0,12.0,4.0
hsa-miR-33a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-33a-5p,2.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-340-3p,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,7.0,1.0,3.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0
hsa-miR-340-5p,171.0,311.0,182.0,489.0,1036.0,510.0,24.0,7.0,10.0,77.0,99.0,138.0,21.0,29.0,20.0,90.0,2.0,599.0,722.0,233.0,141.0,97.0,6.0,10.0,11.0,11.0,119.0,80.0,51.0
hsa-miR-342-3p,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
hsa-miR-342-5p,1.0,1.0,1.0,5.0,8.0,6.0,3.0,1.0,3.0,3.0,3.0,6.0,0.0,3.0,3.0,3.0,0.0,3.0,6.0,2.0,2.0,4.0,1.0,10.0,6.0,3.0,1.0,0.0,1.0
hsa-miR-345-5p,1.0,1.0,2.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,3.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-346,10.0,2.0,4.0,13.0,15.0,11.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,18.0,18.0,6.0,2.0,10.0,4.0,9.0,8.0,7.0,0.0,1.0,1.0
hsa-miR-34a-5p,3.0,5.0,3.0,1.0,7.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
hsa-miR-34b-3p,3.0,49.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,14.0,12.0,11.0,2.0,0.0,5.0
hsa-miR-34c-3p,9.0,30.0,9.0,9.0,17.0,8.0,2.0,0.0,3.0,3.0,3.0,9.0,0.0,7.0,2.0,6.0,0.0,9.0,16.0,8.0,2.0,7.0,16.0,26.0,23.0,15.0,2.0,3.0,5.0
hsa-miR-34c-5p,22.0,70.0,19.0,29.0,43.0,36.0,5.0,3.0,1.0,11.0,6.0,9.0,2.0,7.0,9.0,6.0,6.0,27.0,33.0,14.0,43.0,22.0,12.0,8.0,7.0,16.0,13.0,9.0,15.0
hsa-miR-3605-3p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-3605-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-361-3p,24.0,59.0,20.0,22.0,31.0,28.0,11.0,15.0,48.0,19.0,29.0,38.0,22.0,41.0,24.0,23.0,0.0,33.0,54.0,14.0,34.0,27.0,115.0,94.0,98.0,103.0,18.0,14.0,34.0
hsa-miR-361-5p,40.0,42.0,45.0,91.0,160.0,117.0,6.0,5.0,8.0,15.0,16.0,33.0,8.0,16.0,8.0,14.0,2.0,108.0,154.0,54.0,48.0,34.0,24.0,27.0,36.0,20.0,21.0,7.0,25.0
hsa-miR-3611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3613-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3613-5p,4.0,0.0,6.0,4.0,21.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,16.0,28.0,4.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-3614-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-3615,7.0,3.0,7.0,7.0,13.0,4.0,3.0,0.0,7.0,0.0,2.0,6.0,3.0,9.0,5.0,6.0,0.0,14.0,6.0,3.0,0.0,7.0,2.0,16.0,43.0,14.0,3.0,1.0,2.0
hsa-miR-362-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-362-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-363-3p,29.0,27.0,23.0,26.0,99.0,52.0,3.0,2.0,2.0,7.0,12.0,17.0,1.0,8.0,3.0,12.0,0.0,74.0,87.0,23.0,19.0,21.0,5.0,23.0,13.0,7.0,6.0,7.0,2.0
hsa-miR-363-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-3648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,3.0,0.0,0.0,6.0,9.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
hsa-miR-365a-5p,2.0,1.0,4.0,2.0,4.0,5.0,2.0,0.0,4.0,4.0,7.0,7.0,3.0,5.0,2.0,5.0,0.0,1.0,5.0,3.0,23.0,2.0,16.0,13.0,6.0,11.0,5.0,1.0,9.0
hsa-miR-365b-3p,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-365b-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-3667-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-370-3p,17.0,39.0,34.0,17.0,29.0,21.0,7.0,5.0,6.0,9.0,15.0,32.0,5.0,15.0,24.0,53.0,1.0,19.0,29.0,6.0,46.0,26.0,24.0,28.0,23.0,23.0,18.0,12.0,21.0
hsa-miR-370-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-374a-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-374a-5p,7.0,13.0,3.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-374b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-374b-5p,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-375-3p,14.0,24.0,13.0,26.0,31.0,19.0,11.0,8.0,15.0,9.0,8.0,13.0,7.0,19.0,17.0,10.0,0.0,18.0,20.0,26.0,37.0,13.0,39.0,34.0,31.0,32.0,20.0,21.0,15.0
hsa-miR-376a-3p,0.0,12.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-376a-5p,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
