miRNA,SRR14729102,SRR14729103,SRR14729104,SRR14729111,SRR14729112,SRR14729113,SRR14729114,SRR14729115,SRR14729100,SRR14729101,SRR14729105,SRR14729106,SRR14729107,SRR14729108,SRR14729109,SRR14729110,SRR14729116,SRR14729117,SRR14729118,SRR14729119
hsa-let-7a-3p,145.0,45.0,197.0,34.0,0.0,99.0,193.0,55.0,68.0,51.0,75.0,33.0,99.0,43.0,57.0,290.0,286.0,261.0,260.0,227.0
hsa-let-7a-5p,47137.0,119061.0,59384.0,9967.0,1512.0,19547.0,24710.0,12380.0,48841.0,26177.0,70556.0,53432.0,124338.0,53353.0,55301.0,22760.0,24338.0,16624.0,23375.0,22529.0
hsa-let-7b-3p,197.0,41.0,49.0,22.0,0.0,33.0,97.0,20.0,25.0,9.0,14.0,45.0,51.0,31.0,20.0,107.0,63.0,81.0,105.0,103.0
hsa-let-7b-5p,25493.0,62979.0,43144.0,22091.0,13599.0,14140.0,13040.0,24082.0,35014.0,23788.0,51726.0,37487.0,71079.0,27959.0,17869.0,19726.0,20950.0,35304.0,21805.0,17569.0
hsa-let-7c-3p,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,0.0,3.0,0.0,2.0
hsa-let-7c-5p,758.0,2341.0,991.0,399.0,249.0,487.0,1209.0,665.0,769.0,597.0,1499.0,1043.0,9473.0,3073.0,7663.0,475.0,556.0,512.0,832.0,575.0
hsa-let-7d-3p,6701.0,28471.0,10082.0,1181.0,635.0,2659.0,5668.0,1471.0,8938.0,3726.0,8045.0,8490.0,12702.0,7151.0,3420.0,4283.0,5301.0,5976.0,7523.0,4708.0
hsa-let-7d-5p,6663.0,7961.0,6262.0,2142.0,296.0,3087.0,3818.0,3092.0,3606.0,3185.0,6802.0,4658.0,11184.0,4020.0,3312.0,4644.0,5601.0,6148.0,4230.0,3819.0
hsa-let-7e-3p,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
hsa-let-7e-5p,433.0,516.0,352.0,129.0,83.0,179.0,217.0,164.0,530.0,244.0,527.0,519.0,1158.0,447.0,165.0,315.0,316.0,277.0,415.0,286.0
hsa-let-7f-1-3p,34.0,0.0,17.0,2.0,6.0,4.0,13.0,2.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,13.0,15.0,9.0,9.0,16.0
hsa-let-7f-2-3p,1.0,0.0,3.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,13.0,14.0,12.0,7.0
hsa-let-7f-5p,42815.0,88293.0,59076.0,5881.0,759.0,16733.0,24613.0,8211.0,46363.0,19963.0,53120.0,43510.0,119215.0,49693.0,48991.0,22428.0,19323.0,12090.0,19376.0,21385.0
hsa-let-7g-3p,7.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,0.0,3.0
hsa-let-7g-5p,16512.0,16665.0,13804.0,8109.0,1082.0,12036.0,18641.0,10578.0,8260.0,6110.0,13412.0,8826.0,24169.0,9782.0,14038.0,10163.0,10120.0,5693.0,9626.0,9860.0
hsa-let-7i-3p,11.0,0.0,8.0,18.0,0.0,16.0,20.0,9.0,6.0,3.0,0.0,3.0,4.0,0.0,4.0,55.0,24.0,46.0,42.0,26.0
hsa-let-7i-5p,53167.0,59862.0,79074.0,47217.0,6434.0,51814.0,77195.0,58572.0,48078.0,29408.0,58522.0,44557.0,120015.0,44978.0,31454.0,71576.0,63293.0,35604.0,60163.0,64422.0
hsa-miR-1-3p,215.0,1400.0,529.0,53.0,401.0,295.0,214.0,48.0,281.0,341.0,339.0,683.0,1060.0,404.0,224.0,508.0,169.0,147.0,256.0,271.0
hsa-miR-100-5p,4166.0,2185.0,1990.0,3052.0,914.0,1873.0,4057.0,2588.0,2190.0,1073.0,1575.0,1129.0,3388.0,2340.0,10567.0,11541.0,2545.0,4062.0,4483.0,4216.0
hsa-miR-101-2-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-101-3p,3334.0,4712.0,11385.0,6738.0,563.0,5325.0,13744.0,5643.0,6459.0,3112.0,4161.0,3646.0,8283.0,2929.0,4203.0,12019.0,11164.0,17765.0,8610.0,10526.0
