miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-let-7a-2-3p,0.0,13.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.0,0.0,9.0,0.0,0.0,29.0
hsa-let-7a-5p,23587.0,50712.0,67433.0,12884.0,8010.0,21339.0
hsa-let-7b-3p,0.0,6.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,45676.0,54334.0,90601.0,17258.0,9804.0,41140.0
hsa-let-7c-3p,0.0,18.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,4975.0,7351.0,11507.0,1901.0,1508.0,3760.0
hsa-let-7d-3p,0.0,19.0,15.0,0.0,47.0,0.0
hsa-let-7d-5p,364.0,832.0,1185.0,144.0,49.0,42.0
hsa-let-7e-5p,3056.0,6377.0,8561.0,1356.0,719.0,1830.0
hsa-let-7f-1-3p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7f-5p,9861.0,27155.0,36980.0,5006.0,3873.0,8707.0
hsa-let-7g-5p,556.0,1018.0,1256.0,146.0,231.0,363.0
hsa-let-7i-3p,0.0,0.0,13.0,0.0,0.0,0.0
hsa-let-7i-5p,8988.0,23953.0,31078.0,3677.0,1695.0,9867.0
hsa-miR-1-3p,57.0,198.0,19.0,0.0,75.0,27.0
hsa-miR-100-3p,34.0,29.0,12.0,0.0,22.0,17.0
hsa-miR-100-5p,9883.0,16703.0,18276.0,2495.0,1913.0,3749.0
hsa-miR-101-3p,26.0,224.0,252.0,157.0,57.0,175.0
hsa-miR-10396b-3p,77.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-103a-3p,940.0,2746.0,5882.0,4.0,242.0,443.0
hsa-miR-10400-3p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,1.0,8.0,42.0,0.0,0.0
hsa-miR-105-5p,0.0,1.0,29.0,0.0,0.0,5.0
hsa-miR-10526-3p,26.0,13.0,23.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-106b-3p,302.0,313.0,392.0,80.0,8.0,100.0
hsa-miR-106b-5p,0.0,2.0,30.0,0.0,1.0,0.0
hsa-miR-107,7.0,6.0,144.0,2.0,1.0,1.0
hsa-miR-10a-3p,26.0,43.0,35.0,74.0,1.0,1.0
hsa-miR-10a-5p,1241.0,3073.0,2419.0,406.0,256.0,537.0
hsa-miR-10b-3p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10b-5p,36.0,43.0,29.0,3.0,6.0,16.0
hsa-miR-1179,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1180-3p,77.0,106.0,153.0,2.0,4.0,23.0
hsa-miR-1185-1-3p,0.0,6.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,10.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,13.0,0.0,0.0,0.0
hsa-miR-12136,252.0,294.0,259.0,1.0,0.0,22.0
hsa-miR-122-5p,56.0,253.0,84.0,11.0,1.0,198.0
hsa-miR-1226-3p,0.0,25.0,37.0,0.0,1.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1229-5p,0.0,19.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1237-5p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-124-3p,1.0,0.0,0.0,2.0,1.0,1.0
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1246,5.0,64.0,169.0,5.0,3.0,4.0
hsa-miR-1247-5p,5.0,4.0,2.0,1.0,2.0,4.0
hsa-miR-1248,49.0,16.0,0.0,0.0,0.0,12.0
hsa-miR-1249-3p,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,2.0,1.0,3.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1255b-5p,0.0,0.0,28.0,0.0,0.0,1.0
hsa-miR-1257,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,1.0,5.0,1.0,0.0,0.0,0.0
hsa-miR-125a-5p,9059.0,13786.0,19098.0,3888.0,1071.0,3009.0
hsa-miR-125b-1-3p,56.0,115.0,98.0,0.0,42.0,47.0
hsa-miR-125b-2-3p,24.0,1.0,32.0,0.0,0.0,0.0
hsa-miR-125b-5p,19241.0,34218.0,37037.0,8319.0,1844.0,7406.0
hsa-miR-126-3p,130.0,217.0,252.0,8.0,8.0,234.0
hsa-miR-126-5p,0.0,10.0,24.0,1.0,1.0,33.0
hsa-miR-1260b,0.0,0.0,27.0,1.0,1.0,0.0
hsa-miR-1262,0.0,20.0,25.0,1.0,0.0,0.0
hsa-miR-1268a,2.0,24.0,4.0,2.0,0.0,51.0
hsa-miR-1268b,49.0,13.0,23.0,0.0,0.0,1.0
hsa-miR-1269a,4.0,8.0,3.0,3.0,7.0,6.0
hsa-miR-1269b,3.0,5.0,5.0,0.0,0.0,1.0
hsa-miR-127-3p,3968.0,5437.0,6336.0,949.0,145.0,1404.0
hsa-miR-127-5p,104.0,36.0,67.0,0.0,0.0,41.0
hsa-miR-1270,26.0,7.0,98.0,53.0,0.0,0.0
hsa-miR-1271-5p,0.0,6.0,19.0,0.0,1.0,1.0
hsa-miR-1275,21.0,43.0,8.0,5.0,2.0,2.0
hsa-miR-1276,0.0,8.0,0.0,1.0,0.0,0.0
hsa-miR-128-1-5p,13.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-128-3p,301.0,572.0,680.0,90.0,25.0,145.0
hsa-miR-1283,9.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1285-5p,2.0,0.0,7.0,0.0,1.0,1.0
hsa-miR-1287-5p,13.0,44.0,43.0,1.0,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,14.0,0.0,0.0,0.0
hsa-miR-129-5p,34.0,17.0,40.0,3.0,43.0,17.0
hsa-miR-1290,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1291,158.0,15.0,23.0,33.0,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1293,0.0,1.0,9.0,0.0,0.0,0.0
hsa-miR-1295a,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1296-5p,3.0,46.0,129.0,51.0,3.0,4.0
hsa-miR-1299,1.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-1301-3p,0.0,18.0,63.0,1.0,1.0,5.0
hsa-miR-1303,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1306-5p,56.0,27.0,3.0,2.0,5.0,24.0
hsa-miR-1307-3p,847.0,868.0,1119.0,253.0,305.0,260.0
hsa-miR-1307-5p,30.0,43.0,4.0,2.0,1.0,1.0
hsa-miR-130a-3p,99.0,113.0,116.0,7.0,4.0,62.0
hsa-miR-130a-5p,38.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,6.0,30.0,12.0,3.0,3.0,25.0
hsa-miR-130b-5p,21.0,14.0,43.0,2.0,5.0,1.0
hsa-miR-132-3p,64.0,43.0,52.0,0.0,57.0,62.0
hsa-miR-132-5p,72.0,65.0,83.0,0.0,0.0,30.0
hsa-miR-1322,0.0,0.0,22.0,0.0,0.0,0.0
hsa-miR-133a-3p,25.0,139.0,29.0,61.0,0.0,52.0
hsa-miR-133a-5p,0.0,17.0,0.0,0.0,0.0,0.0
hsa-miR-133b,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-134-5p,388.0,1230.0,1216.0,22.0,159.0,276.0
hsa-miR-1343-3p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-135a-3p,0.0,1.0,1.0,0.0,0.0,1.0
hsa-miR-135a-5p,4.0,19.0,4.0,3.0,3.0,1.0
hsa-miR-135b-3p,0.0,0.0,20.0,0.0,0.0,0.0
hsa-miR-135b-5p,45.0,230.0,218.0,3.0,3.0,158.0
hsa-miR-136-3p,92.0,147.0,90.0,1.0,0.0,34.0
hsa-miR-136-5p,0.0,133.0,40.0,0.0,78.0,0.0
hsa-miR-137-3p,198.0,294.0,456.0,1.0,13.0,65.0
hsa-miR-137-5p,0.0,13.0,27.0,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,8.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,152.0,218.0,203.0,48.0,1.0,28.0
hsa-miR-139-3p,30.0,16.0,52.0,0.0,0.0,0.0
hsa-miR-139-5p,34.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-140-3p,109.0,345.0,239.0,6.0,127.0,89.0
hsa-miR-140-5p,28.0,36.0,33.0,2.0,1.0,0.0
hsa-miR-141-3p,0.0,0.0,0.0,0.0,2.0,17.0
hsa-miR-142-3p,111.0,98.0,97.0,70.0,137.0,352.0
hsa-miR-142-5p,0.0,8.0,36.0,0.0,0.0,19.0
hsa-miR-143-3p,748.0,2042.0,2363.0,510.0,243.0,1055.0
hsa-miR-143-5p,26.0,18.0,0.0,0.0,0.0,0.0
hsa-miR-144-3p,0.0,5.0,0.0,0.0,0.0,27.0
hsa-miR-144-5p,0.0,10.0,22.0,0.0,0.0,9.0
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.0,21.0
hsa-miR-145-5p,15.0,76.0,72.0,0.0,1.0,0.0
hsa-miR-146a-5p,55.0,84.0,96.0,2.0,54.0,1.0
hsa-miR-146b-3p,0.0,0.0,33.0,0.0,0.0,15.0
hsa-miR-146b-5p,375.0,485.0,431.0,137.0,139.0,272.0
hsa-miR-147b-3p,0.0,0.0,11.0,0.0,0.0,0.0
hsa-miR-148a-3p,184.0,308.0,272.0,89.0,121.0,186.0
hsa-miR-148a-5p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-148b-3p,153.0,329.0,389.0,14.0,63.0,84.0
hsa-miR-148b-5p,0.0,17.0,0.0,0.0,0.0,0.0
hsa-miR-149-5p,235.0,296.0,409.0,86.0,48.0,116.0
hsa-miR-150-5p,0.0,0.0,7.0,0.0,0.0,13.0
hsa-miR-151a-3p,823.0,2087.0,2170.0,382.0,309.0,939.0
hsa-miR-151a-5p,109.0,135.0,133.0,2.0,2.0,66.0
hsa-miR-151b,1.0,2.0,4.0,0.0,1.0,1.0
hsa-miR-152-3p,71.0,274.0,412.0,1.0,1.0,141.0
hsa-miR-152-5p,0.0,13.0,0.0,0.0,0.0,0.0
hsa-miR-153-3p,0.0,2.0,0.0,0.0,0.0,2.0
hsa-miR-153-5p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1538,0.0,7.0,0.0,0.0,0.0,0.0
hsa-miR-154-3p,0.0,11.0,0.0,0.0,0.0,0.0
hsa-miR-154-5p,52.0,46.0,21.0,0.0,0.0,63.0
hsa-miR-155-5p,1359.0,4237.0,5538.0,651.0,226.0,2223.0
hsa-miR-15a-5p,43.0,89.0,34.0,1.0,0.0,1.0
hsa-miR-15b-3p,25.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-15b-5p,18.0,132.0,80.0,62.0,2.0,28.0
hsa-miR-16-5p,3362.0,11853.0,13825.0,2342.0,1610.0,6210.0
hsa-miR-17-3p,21.0,40.0,11.0,0.0,2.0,2.0
hsa-miR-17-5p,5.0,14.0,83.0,6.0,4.0,78.0
hsa-miR-181a-2-3p,265.0,300.0,246.0,57.0,96.0,374.0
hsa-miR-181a-3p,269.0,309.0,336.0,67.0,36.0,109.0
hsa-miR-181a-5p,2969.0,3941.0,4623.0,617.0,402.0,765.0
hsa-miR-181b-3p,32.0,8.0,0.0,0.0,37.0,18.0
hsa-miR-181b-5p,1114.0,1065.0,1103.0,68.0,238.0,321.0
hsa-miR-181c-3p,0.0,11.0,0.0,1.0,0.0,43.0
