miRNA,SRR26990618,SRR26990619,SRR26990620,SRR26990621,SRR26990622,SRR26990623,SRR26990624,SRR26990625,SRR26990626,SRR26990627,SRR26990628,SRR26990629,SRR26990630,SRR26990631,SRR26990632,SRR26990633,SRR26990634,SRR26990635
hsa-let-7a-3p,0.0,0.0,1.0,36.0,25.0,17.0,19.0,10.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
hsa-let-7a-5p,5.0,9.0,110.0,699.0,326.0,336.0,147.0,404.0,499.0,8.0,75.0,16.0,2.0,15.0,60.0,121.0,1.0,13.0
hsa-let-7b-3p,0.0,0.0,0.0,7.0,1.0,14.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
hsa-let-7b-5p,9.0,13.0,75.0,577.0,493.0,899.0,183.0,689.0,406.0,46.0,116.0,52.0,22.0,6.0,408.0,115.0,1.0,26.0
hsa-let-7c-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,7.0,7.0,101.0,158.0,138.0,54.0,107.0,37.0,1.0,5.0,2.0,3.0,3.0,7.0,1.0,0.0,0.0
hsa-let-7d-3p,0.0,0.0,4.0,5.0,3.0,13.0,2.0,8.0,10.0,0.0,1.0,0.0,0.0,12.0,3.0,5.0,0.0,0.0
hsa-let-7d-5p,0.0,1.0,3.0,19.0,19.0,10.0,7.0,6.0,8.0,5.0,3.0,5.0,0.0,0.0,27.0,27.0,0.0,24.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,1.0,20.0,18.0,27.0,7.0,23.0,18.0,3.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0
hsa-let-7f-1-3p,0.0,1.0,0.0,6.0,4.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,5.0,12.0,54.0,388.0,148.0,116.0,46.0,163.0,173.0,0.0,15.0,3.0,0.0,2.0,6.0,22.0,0.0,0.0
hsa-let-7g-3p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,30.0,80.0,59.0,46.0,13.0,124.0,107.0,1.0,9.0,0.0,0.0,2.0,12.0,30.0,0.0,0.0
hsa-let-7i-3p,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,0.0,0.0,8.0,17.0,15.0,8.0,3.0,19.0,15.0,1.0,3.0,0.0,0.0,0.0,22.0,10.0,0.0,0.0
hsa-miR-1-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,0.0,6.0,8.0,18.0,4.0,11.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,143.0,37.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,1.0,0.0,4.0,23.0,0.0,2.0,0.0,21.0,184.0,0.0,47.0,0.0,0.0,148.0,1.0,1.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,153.0,141.0,36.0,1.0,2.0,120.0,548.0,0.0,786.0,0.0,0.0,163.0,2.0,6.0,0.0,15.0
hsa-miR-10396b-5p,0.0,0.0,1.0,9.0,1.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
hsa-miR-10400-5p,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.0,2839.0,176.0,269.0,15.0,296.0,191.0,1140.0,0.0,56.0,2.0,0.0,691.0,0.0,33.0,1.0,46.0
hsa-miR-10401-5p,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10524-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-5p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12121,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12132,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,18.0,0.0,4.0,24.0,28.0,0.0,0.0,2.0,5.0,12.0,0.0,0.0,0.0,1.0,8.0,53.0,36.0,7.0
hsa-miR-122-5p,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,3.0,74.0,11.0,8.0,1.0,8.0,153.0,132.0,26.0,26.0,52.0,20.0,88.0,1046.0,264.0,3.0,282.0
hsa-miR-1248,0.0,0.0,0.0,31.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,0.0,0.0,8.0,26.0,18.0,20.0,4.0,59.0,46.0,0.0,9.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,0.0,0.0,2.0,15.0,17.0,26.0,3.0,68.0,19.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-126-3p,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
hsa-miR-126-5p,0.0,14.0,0.0,3.0,10.0,5.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,24.0,36.0,1.0,0.0,0.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
