miRNA,SRR19909546,SRR19909547,SRR19909548,SRR19909549,SRR19909550,SRR19909551,SRR19909552,SRR19909553,SRR19909554,SRR19909555,SRR19909556,SRR19909557
hsa-let-7a-3p,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,8.27,23.41,11.88,33.1,19.82,53.76,25.26,49.9,25.56,15379.4,14450.02,23.75
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0
hsa-let-7b-5p,246.58,1469.34,424.88,1079.19,381.6,902.99,677.77,3221.47,7509.28,4945.1,4213.94,1179.45
hsa-let-7c-5p,1.5,0.0,0.0,0.39,0.0,0.0,0.0,123.29,13.63,238.3,68.4,20.1
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.69,18.04,0.0
hsa-let-7d-5p,0.0,1.89,0.0,2.73,0.0,1.62,0.0,9.39,0.0,565.22,196.39,0.0
hsa-let-7e-5p,1.5,2.64,0.0,0.0,0.0,4.04,0.6,7.05,0.0,1559.29,334.45,1.83
hsa-let-7f-1-3p,0.0,0.38,0.0,0.39,0.0,0.81,0.0,1.17,0.0,0.0,0.0,0.0
hsa-let-7f-5p,21.8,30.96,18.42,40.11,20.53,44.87,57.73,112.14,20.45,13449.11,10967.91,19.19
hsa-let-7g-3p,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0
hsa-let-7g-5p,0.0,5.29,1.19,4.67,2.12,3.23,7.82,13.5,0.0,1411.44,454.88,4.57
hsa-let-7i-3p,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0
hsa-let-7i-5p,9.02,137.42,6.54,91.91,18.41,182.7,25.86,478.49,63.05,47596.0,5222.32,150.74
hsa-miR-1-3p,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.59,0.0,2.3,2.52,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0
hsa-miR-101-2-5p,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,184.94,743.73,327.42,570.17,388.68,749.39,289.27,1089.09,461.77,145.55,150.23,223.83
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.38,0.0,0.0,0.0,0.0,0.0,1.17,0.0,2.75,0.0,0.0
hsa-miR-10393-5p,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,1.19,0.0,0.0,0.81,0.0,0.0,0.0,1.38,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0
hsa-miR-10399-5p,0.0,0.76,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,993.85,5534.2,1236.01,6089.19,2099.85,8613.95,2026.09,21721.85,3155.7,850.81,590.42,2638.46
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.38,0.0,1.17,0.0,0.0,0.0,0.0,0.0,101.47,112.88,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-107,0.75,7.93,0.59,4.28,11.33,6.87,7.82,15.85,56.23,7.81,0.84,5.48
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-10a-5p,6.77,2.27,3.57,0.0,4.25,0.81,3.01,0.59,23.86,24.79,17.2,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,3.36,0.0
hsa-miR-1179,0.0,1.51,0.0,0.0,0.0,0.4,0.6,2.94,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,5.04,0.0
hsa-miR-12136,1.5,9.82,7.13,5.06,0.71,4.85,3.61,7.05,17.04,5.05,17.2,7.31
hsa-miR-122-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88,185.48,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-1231,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.75,4.15,1.78,0.39,0.71,0.4,1.8,0.0,0.0,165.75,39.45,0.0
hsa-miR-1248,0.0,0.0,0.0,0.78,0.0,0.4,0.0,1.17,0.0,12.86,4.2,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,4.62,0.0
hsa-miR-1255b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48,0.0,0.0
hsa-miR-125a-5p,1.5,47.95,3.57,44.4,9.2,77.61,12.63,125.64,17.04,2821.51,299.62,52.99
hsa-miR-125b-5p,0.0,3.02,0.59,4.28,0.0,7.68,3.61,8.81,3.41,141.42,81.83,0.0
hsa-miR-126-3p,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.59,0.0,210.29,657.98,0.0
hsa-miR-126-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,67.98,0.0
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,1.42,0.4,0.0,2.35,0.0,2.3,0.0,0.0
hsa-miR-1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,9.23,0.0
hsa-miR-1269a,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,0.0,0.0,1.19,0.39,0.0,0.81,0.0,0.59,13.63,2.3,0.0,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,10.91,0.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.39,0.71,1.21,0.0,0.0,5.11,1.84,0.0,0.0
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.42,10.07,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.59,0.0,0.0,0.4,0.0,0.0,0.0,137.29,48.26,0.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.46,0.0,0.0
hsa-miR-1285-5p,0.0,1.13,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0
hsa-miR-1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0
hsa-miR-1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07,0.0
hsa-miR-1295a,0.0,0.38,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
hsa-miR-1301-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,18.37,6.29,0.0
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0
hsa-miR-1307-3p,57.89,412.26,209.17,140.21,257.7,571.54,447.44,598.26,679.87,240.6,198.49,152.57
hsa-miR-1307-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0
hsa-miR-130a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0
hsa-miR-130a-5p,3.76,2.27,5.35,1.56,5.66,2.43,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,10.07,0.0
hsa-miR-130b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-132-3p,0.0,1.13,0.0,4.28,0.0,1.62,1.2,2.35,0.0,10.56,24.76,0.0
hsa-miR-132-5p,0.0,0.0,0.0,1.56,0.0,0.81,0.0,1.76,0.0,17.91,8.81,0.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,6.71,0.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-137-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,4.2,0.0
hsa-miR-139-3p,0.0,2.64,1.19,1.17,1.42,1.62,1.2,0.59,270.93,3.67,0.0,10.96
hsa-miR-140-3p,0.0,5.29,1.78,1.95,0.71,9.7,0.6,5.28,0.0,237.84,168.27,0.0
hsa-miR-140-5p,10.52,59.27,20.2,42.45,16.28,53.35,2.41,24.66,6.82,12.86,29.37,4.57
hsa-miR-141-3p,0.0,11.33,3.57,5.84,1.42,8.49,1.2,12.92,0.0,9.18,0.0,0.0
