miRNA,SRR19909546,SRR19909547,SRR19909548,SRR19909549,SRR19909550,SRR19909551,SRR19909552,SRR19909553,SRR19909554,SRR19909555,SRR19909556,SRR19909557
hsa-let-7a-3p,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,11.0,62.0,20.0,85.0,28.0,133.0,42.0,85.0,15.0,33495.0,34435.0,26.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,328.0,3892.0,715.0,2771.0,539.0,2234.0,1127.0,5487.0,4407.0,10770.0,10042.0,1291.0
hsa-let-7c-5p,2.0,0.0,0.0,1.0,0.0,0.0,0.0,210.0,8.0,519.0,163.0,22.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,0.0
hsa-let-7d-5p,0.0,5.0,0.0,7.0,0.0,4.0,0.0,16.0,0.0,1231.0,468.0,0.0
hsa-let-7e-5p,2.0,7.0,0.0,0.0,0.0,10.0,1.0,12.0,0.0,3396.0,797.0,2.0
hsa-let-7f-1-3p,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,29.0,82.0,31.0,103.0,29.0,111.0,96.0,191.0,12.0,29291.0,26137.0,21.0
hsa-let-7g-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
hsa-let-7g-5p,0.0,14.0,2.0,12.0,3.0,8.0,13.0,23.0,0.0,3074.0,1084.0,5.0
hsa-let-7i-3p,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
hsa-let-7i-5p,12.0,364.0,11.0,236.0,26.0,452.0,43.0,815.0,37.0,103660.0,12445.0,165.0
hsa-miR-1-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
hsa-miR-101-2-5p,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,246.0,1970.0,551.0,1464.0,549.0,1854.0,481.0,1855.0,271.0,317.0,358.0,245.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
hsa-miR-10393-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
hsa-miR-10399-5p,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
