miRNA,SRR6076852,SRR6076853,SRR6076854,SRR6076855,SRR6076856,SRR6076857,SRR6076858,SRR6076859,SRR6076860,SRR6076861
hsa-let-7a-2-3p,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,291.0,196.0,61.0,100.0,40.0,193.0,546.0,197.0,65.0,142.0
hsa-let-7a-5p,106575.0,85354.0,64390.0,145879.0,114476.0,88198.0,101320.0,105994.0,51316.0,76786.0
hsa-let-7b-3p,140.0,45.0,78.0,67.0,52.0,115.0,162.0,140.0,25.0,81.0
hsa-let-7b-5p,132698.0,100881.0,36668.0,98033.0,60972.0,125220.0,195805.0,113909.0,60994.0,76238.0
hsa-let-7c-3p,3.0,0.0,13.0,3.0,6.0,1.0,0.0,7.0,1.0,0.0
hsa-let-7c-5p,1683.0,20518.0,8431.0,4567.0,2969.0,1125.0,31995.0,3930.0,946.0,1628.0
hsa-let-7d-3p,5050.0,1997.0,1673.0,1165.0,1471.0,4708.0,5834.0,5840.0,2694.0,4482.0
hsa-let-7d-5p,3440.0,3770.0,2076.0,6431.0,4846.0,2401.0,3944.0,4160.0,2061.0,2623.0
hsa-let-7e-3p,0.0,0.0,3.0,4.0,1.0,1.0,9.0,0.0,1.0,2.0
hsa-let-7e-5p,1368.0,1391.0,723.0,2302.0,1343.0,1072.0,1487.0,1324.0,472.0,1034.0
hsa-let-7f-1-3p,14.0,17.0,10.0,1.0,4.0,24.0,7.0,23.0,6.0,8.0
hsa-let-7f-2-3p,2.0,3.0,2.0,1.0,2.0,4.0,6.0,2.0,0.0,2.0
hsa-let-7f-5p,72219.0,73408.0,39521.0,102060.0,70403.0,64537.0,97973.0,79085.0,43094.0,60580.0
hsa-let-7g-3p,0.0,2.0,0.0,2.0,0.0,7.0,6.0,3.0,0.0,0.0
hsa-let-7g-5p,14746.0,14334.0,7107.0,21685.0,13154.0,14202.0,23239.0,17995.0,8871.0,12996.0
hsa-let-7i-3p,26.0,11.0,4.0,14.0,0.0,6.0,31.0,11.0,2.0,10.0
hsa-let-7i-5p,70635.0,77390.0,20806.0,78097.0,43562.0,73941.0,124963.0,80832.0,46359.0,63283.0
hsa-miR-1-3p,310.0,176.0,1909.0,3154.0,3353.0,898.0,528.0,294.0,3049.0,291.0
hsa-miR-100-5p,3632.0,3931.0,24408.0,9884.0,7538.0,2537.0,6862.0,4667.0,1154.0,2731.0
