miRNA,SRR22254414,SRR22254415,SRR22254416,SRR22254417,SRR22254418,SRR22254419,SRR22254420,SRR22254421,SRR22254422,SRR22254423,SRR22254424,SRR22254425,SRR22254426,SRR22254427,SRR22254428,SRR22254429,SRR22254430
hsa-let-7a-2-3p,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-let-7a-3p,702.0,355.0,412.0,940.0,821.0,187.0,187.0,218.0,541.0,306.0,253.0,148.0,140.0,502.0,291.0,278.0,379.0
hsa-let-7a-5p,328168.0,226512.0,270599.0,361068.0,251031.0,121967.0,156915.0,138100.0,422008.0,179867.0,154311.0,121196.0,185176.0,261227.0,197752.0,224696.0,176175.0
hsa-let-7b-3p,278.0,176.0,266.0,409.0,217.0,114.0,155.0,164.0,332.0,221.0,150.0,79.0,161.0,190.0,236.0,211.0,116.0
hsa-let-7b-5p,46991.0,40345.0,51750.0,58003.0,41815.0,24958.0,29494.0,27214.0,58684.0,40134.0,42478.0,38996.0,58458.0,40774.0,44230.0,55783.0,28415.0
hsa-let-7c-3p,184.0,127.0,116.0,182.0,92.0,80.0,75.0,46.0,188.0,87.0,82.0,39.0,47.0,123.0,77.0,76.0,82.0
hsa-let-7c-5p,94407.0,96325.0,120365.0,128931.0,56445.0,56857.0,71739.0,26877.0,119522.0,62510.0,89432.0,68917.0,109092.0,77167.0,77115.0,87381.0,35946.0
hsa-let-7d-3p,1245.0,880.0,1016.0,1224.0,960.0,585.0,560.0,467.0,1362.0,1119.0,967.0,414.0,819.0,915.0,753.0,811.0,432.0
hsa-let-7d-5p,4672.0,3279.0,3819.0,5739.0,4353.0,2170.0,2289.0,2033.0,6352.0,4767.0,3033.0,2381.0,2951.0,4306.0,3059.0,3153.0,2172.0
hsa-let-7e-3p,63.0,57.0,66.0,90.0,47.0,21.0,34.0,36.0,70.0,52.0,84.0,24.0,46.0,54.0,57.0,53.0,32.0
hsa-let-7e-5p,6356.0,5954.0,9211.0,10170.0,6991.0,4189.0,4888.0,3427.0,10886.0,6891.0,6147.0,3035.0,6517.0,6975.0,6832.0,6622.0,4564.0
hsa-let-7f-1-3p,15.0,6.0,8.0,34.0,15.0,3.0,6.0,3.0,11.0,8.0,14.0,5.0,13.0,5.0,8.0,6.0,3.0
hsa-let-7f-2-3p,7.0,7.0,8.0,36.0,42.0,2.0,8.0,7.0,14.0,1.0,11.0,2.0,2.0,14.0,13.0,8.0,14.0
hsa-let-7f-5p,316392.0,226253.0,282086.0,459750.0,341340.0,124694.0,150424.0,155058.0,429254.0,194666.0,130760.0,77482.0,122483.0,347525.0,209148.0,210258.0,214752.0
hsa-let-7g-3p,18.0,11.0,14.0,27.0,28.0,10.0,5.0,5.0,14.0,9.0,19.0,6.0,13.0,13.0,20.0,8.0,11.0
hsa-let-7g-5p,31854.0,23616.0,32593.0,42944.0,35306.0,11615.0,15510.0,14651.0,37416.0,19790.0,17057.0,13059.0,16706.0,30414.0,21542.0,21950.0,20352.0
hsa-let-7i-3p,31.0,46.0,48.0,59.0,39.0,7.0,19.0,9.0,38.0,42.0,45.0,18.0,50.0,35.0,13.0,31.0,12.0
hsa-let-7i-5p,10562.0,10705.0,11891.0,19060.0,13690.0,4567.0,7347.0,5200.0,15479.0,10978.0,9734.0,6722.0,8605.0,10368.0,8869.0,8742.0,5974.0
hsa-miR-100-3p,13.0,26.0,13.0,80.0,20.0,4.0,6.0,4.0,20.0,2.0,9.0,1.0,3.0,12.0,7.0,1.0,8.0
hsa-miR-100-5p,2123.0,2305.0,2037.0,5115.0,1488.0,420.0,787.0,433.0,3956.0,1872.0,1360.0,727.0,1610.0,1186.0,734.0,555.0,995.0
hsa-miR-101-2-5p,2.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,6.0,6.0,2.0,7.0,0.0,3.0,2.0,3.0,7.0
hsa-miR-101-3p,28665.0,23194.0,28092.0,65595.0,74840.0,9520.0,12222.0,19086.0,35045.0,16281.0,9947.0,8248.0,8905.0,49592.0,18883.0,13647.0,33935.0
hsa-miR-101-5p,147.0,71.0,99.0,391.0,311.0,65.0,81.0,123.0,141.0,80.0,83.0,80.0,43.0,220.0,72.0,83.0,236.0
hsa-miR-10226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10394-3p,15.0,10.0,20.0,5.0,7.0,13.0,4.0,12.0,11.0,14.0,7.0,11.0,7.0,10.0,3.0,7.0,5.0
hsa-miR-10394-5p,3.0,3.0,0.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10396a-5p,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
hsa-miR-10396b-3p,4.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0
hsa-miR-10397-3p,3.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
